,Electricity Price,Wind Power,Solar Power,HPP Power,Curtailed Power,Battery SOC,Battery Power
0,31.163,13.83882752786756,0.0,9.35987858788547,0.0,75.0,-4.478948939982089
1,31.163,15.227766269993404,0.0,10.748817330011315,0.0,79.41176470588235,-4.478948939982089
2,31.163,12.983009518691048,0.0,8.504060578708962,0.0,83.82352941176471,-4.478948939982086
3,31.163,19.665673560661816,0.0,15.186724620679733,0.0,88.23529411764706,-4.478948939982082
4,31.163,34.08235808092729,0.0,29.60340914094521,0.0,92.6470588235294,-4.478948939982082
5,32.147,19.094020721209457,0.0,14.615071781227373,0.0,97.05882352941177,-4.478948939982084
6,32.964,16.272816061851636,0.0,11.79386712186955,0.0,101.47058823529413,-4.478948939982086
7,32.964,12.006664546031248,3.1765466064584547,10.704262212507617,0.0,105.88235294117649,-4.478948939982086
8,39.045,14.410609222551948,13.784569728845023,23.716230011414886,0.0,110.29411764705884,-4.478948939982084
9,32.964,22.03553778514062,30.80011873370459,48.35670757886313,0.0,114.70588235294119,-4.478948939982084
10,34.492,33.9232755265792,46.05911654393097,75.50344313052808,0.0,119.11764705882354,-4.478948939982083
11,33.807,35.457407462501145,50.10816349272783,81.08662201524689,0.0,123.52941176470588,-4.478948939982082
12,33.448,41.29612028263206,38.526534944174564,75.34370628682454,0.0,127.94117647058823,-4.478948939982083
13,33.807,56.94309209665505,17.618112623212212,70.08225577988517,0.0,132.35294117647058,-4.478948939982082
14,34.092,57.089619196678214,3.509767763060792,56.120438019756925,0.0,136.76470588235293,-4.478948939982082
15,34.536,47.08555322404033,0.0,42.60660428405825,0.0,141.17647058823528,-4.478948939982083
16,38.658,52.16139449721422,0.0,47.682445557232136,0.0,145.58823529411765,-4.478948939982083
17,38.579,110.55685989249196,0.0,159.80685989249196,0.0,150.0,49.25
18,38.579,130.91874347910868,0.0,180.16874347910868,0.0,100.0,49.25
19,38.579,145.57113171083486,0.0,142.5715931783014,0.0,50.0,-2.999538532533457
20,35.319,142.05296766160942,0.0,139.05342912907597,0.0,52.95454545454545,-2.999538532533457
21,34.385,160.7174028581845,0.0,157.71786432565105,0.0,55.90909090909091,-2.999538532533457
22,33.871,136.89657378384214,0.0,133.8970352513087,0.0,58.86363636363636,-2.999538532533457
23,32.085,134.99686318397232,0.0,131.99732465143887,0.0,61.81818181818181,-2.9995385325334576
24,31.163,98.51357186405885,0.0,95.51403333152538,0.0,64.77272727272725,-2.999538532533458
25,31.163,118.125960137978,0.0,115.12642160544453,0.0,67.7272727272727,-2.9995385325334585
26,31.163,121.3495303284983,0.0,118.34999179596484,0.0,70.68181818181816,-2.9995385325334585
27,31.163,111.61084738781399,0.0,108.61130885528053,0.0,73.63636363636363,-2.9995385325334585
28,31.163,109.79803525865063,0.0,106.79849672611716,0.0,76.59090909090907,-2.9995385325334585
29,32.147,125.98728516835352,0.0,122.98774663582006,0.0,79.5454545454545,-2.9995385325334576
30,32.964,141.85311727739776,0.0,138.8535787448643,0.0,82.49999999999997,-2.9995385325334567
31,32.964,160.00350189171135,0.0,157.0039633591779,0.0,85.45454545454541,-2.9995385325334585
32,39.045,164.3477029018566,0.0,161.34816436932314,0.0,88.40909090909085,-2.9995385325334585
33,32.964,172.30992445271508,0.0,169.31038592018163,0.0,91.36363636363632,-2.9995385325334567
34,34.492,205.8494702149943,0.0,202.84993168246086,0.0,94.31818181818178,-2.9995385325334567
35,33.807,214.23776584407017,0.0,211.23822731153672,0.0,97.27272727272724,-2.9995385325334567
36,33.448,226.45363303597244,0.0,223.454094503439,0.0,100.2272727272727,-2.9995385325334567
37,33.807,174.3160975412183,0.0,171.31655900868486,0.0,103.18181818181816,-2.9995385325334567
38,34.092,133.25816022273793,0.0,130.25862169020448,0.0,106.13636363636363,-2.9995385325334496
39,34.536,129.83843732424359,0.0,126.83889879171014,0.0,109.09090909090908,-2.9995385325334496
40,38.658,92.18254639623713,0.0,89.18300786370368,0.0,112.04545454545452,-2.9995385325334496
41,38.579,72.77572837402832,0.0,122.02572837402832,0.0,114.99999999999997,49.25
42,38.579,50.69354021888386,0.0,99.94354021888387,0.0,64.99999999999997,49.25
43,38.579,40.93797067644234,0.0,40.93797067644234,0.0,14.999999999999972,0.0
44,35.319,11.476520660412366,0.0,11.476520660412366,0.0,14.999999999999972,0.0
45,34.385,7.132622032875005,0.0,7.132622032875005,0.0,14.999999999999972,0.0
46,33.871,12.942575072178345,0.0,12.942575072178345,0.0,14.999999999999972,0.0
47,32.085,20.895607889523614,0.0,20.895607889523614,0.0,14.999999999999972,0.0
48,32.847,48.00990607263599,0.0,48.00990607263599,0.0,14.999999999999972,0.0
49,32.847,44.23050395970986,0.0,44.23050395970986,0.0,14.999999999999972,0.0
50,32.847,45.40483861127231,0.0,45.40483861127231,0.0,14.999999999999972,0.0
51,32.847,30.81148015702946,0.0,30.81148015702946,0.0,14.999999999999972,0.0
52,33.101,61.01775001900451,0.0,61.01775001900451,0.0,14.999999999999972,0.0
53,33.101,82.78598138315067,0.0,82.78598138315067,0.0,14.999999999999972,0.0
54,33.888,90.85052292685914,0.0,90.85052292685914,0.0,14.999999999999972,0.0
55,41.657,89.79841375251928,0.0,89.79841375251928,0.0,14.999999999999972,0.0
56,38.221,104.29837382781274,0.7448628916718617,105.0432367194846,0.0,14.999999999999972,0.0
57,33.414,121.4686192278235,3.1258452835605617,124.59446451138406,0.0,14.999999999999972,0.0
58,32.874,146.3235240191483,5.261546848681526,151.5850708678298,0.0,14.999999999999972,0.0
